chr,start,end,strand,five_prime,three_prime,five_prime_ID,three_prime_ID,intron_junction,obs.wt,obs.mut,total.reads.per.junction,pvalue,five.log.odds.ratio,five.mut.cluster.cov,five.wt.cluster.cov
chr21,25599866,25601367,-,25601367,25599866,clu_218,clu_233,chr21:25599866:25601367:-,140,1728,1868,0.565824341756582,0.353593277401324,1754,143
chr21,44809118,44817947,-,44817947,44809118,clu_2373,clu_2390,chr21:44809118:44817947:-,2,6,8,0.490025099749003,-1.13274529503757,602,66
chr21,44856364,44861162,-,44861162,44856364,clu_2386,clu_2406,chr21:44856364:44861162:-,7,72,79,0.627983720162798,2.73622107806891,74,10
chr21,44910372,44910599,-,44910599,44910372,clu_2429,clu_2453,chr21:44910372:44910599:-,0,5,5,0.163118368816312,Inf,367,119
chr21,44908182,44910283,-,44910283,44908182,clu_2427,clu_2450,chr21:44908182:44910283:-,69,188,257,0.81330186698133,0.12686672087879,200,74
chr21,25603935,25607402,-,25607402,25603935,clu_234,clu_240,chr21:25603935:25607402:-,0,5,5,0.638663613363866,Inf,1732,141
chr21,44910785,44911375,-,44911375,44910785,clu_2432,clu_2455,chr21:44910785:44911375:-,1,9,10,0.784562154378456,1.11474167059799,378,126
chr21,25603935,25606448,-,25606448,25603935,clu_227,clu_240,chr21:25603935:25606448:-,138,1716,1854,0.237757622423776,0.846521161319031,1732,141
chr21,45538008,45541786,-,45541786,45538008,clu_2609,clu_2605,chr21:45538008:45541786:-,0,6,6,NA,Inf,59,3
chr21,25601467,25603795,-,25603795,25601467,clu_222,clu_236,chr21:25601467:25603795:-,143,1749,1892,0.716582834171658,0.363888681262424,1766,145
chr21,25597411,25599798,-,25599798,25597411,clu_212,clu_227,chr21:25597411:25599798:-,6,78,84,NA,-Inf,94,6
chr21,44910372,44910724,-,44910724,44910372,clu_2430,clu_2453,chr21:44910372:44910724:-,119,362,481,0.163118368816312,-Inf,367,119
chr21,25599866,25601364,-,25601364,25599866,clu_217,clu_233,chr21:25599866:25601364:-,3,26,29,0.565824341756582,-0.353593277401324,1754,143
chr21,44910785,44920820,-,44920820,44910785,clu_2440,clu_2455,chr21:44910785:44920820:-,125,369,494,0.784562154378456,-1.11474167059799,378,126
chr21,25597414,25599794,-,25599794,25597414,clu_211,clu_228,chr21:25597414:25599794:-,2,26,28,0.949730502694973,0.0951441725549604,1669,141
chr21,45532148,45537766,-,45537766,45532148,clu_2601,clu_2599,chr21:45532148:45537766:-,0,6,6,NA,Inf,68,4
chr21,44777417,44787919,-,44787919,44777417,clu_2347,clu_2368,chr21:44777417:44787919:-,67,841,908,0.609143908560914,-0.414539938584458,860,68
chr21,25597411,25599794,-,25599794,25597411,clu_211,clu_227,chr21:25597411:25599794:-,0,16,16,NA,Inf,94,6
chr21,44769169,44771273,-,44771273,44769169,clu_2331,clu_2328,chr21:44769169:44771273:-,1,6,7,NA,-Inf,12,1
chr21,44908182,44909328,-,44909328,44908182,clu_2425,clu_2450,chr21:44908182:44909328:-,5,12,17,0.81330186698133,-0.12686672087879,200,74
chr21,25597414,25599798,-,25599798,25597414,clu_212,clu_228,chr21:25597414:25599798:-,139,1643,1782,0.949730502694973,-0.0951441725549604,1669,141
chr21,45515152,45525816,-,45525816,45515152,clu_2582,clu_2581,chr21:45515152:45525816:-,3,37,40,NA,-Inf,42,3
chr21,45538008,45542367,-,45542367,45538008,clu_2612,clu_2605,chr21:45538008:45542367:-,3,53,56,NA,-Inf,59,3
chr21,44809118,44813975,-,44813975,44809118,clu_2371,clu_2390,chr21:44809118:44813975:-,64,596,660,0.490025099749003,1.13274529503757,602,66
chr21,25603935,25606502,-,25606502,25603935,clu_229,clu_240,chr21:25603935:25606502:-,3,11,14,0.257147428525715,-1.22412412692407,1732,141
chr21,45515152,45515639,-,45515639,45515152,clu_2574,clu_2581,chr21:45515152:45515639:-,0,5,5,NA,Inf,42,3
chr21,45532148,45537770,-,45537770,45532148,clu_2602,clu_2599,chr21:45532148:45537770:-,4,62,66,NA,-Inf,68,4
chr21,44788095,44801283,-,44801283,44788095,clu_2352,clu_2371,chr21:44788095:44801283:-,0,14,14,0.310206897931021,Inf,833,64
chr21,44769169,44770859,-,44770859,44769169,clu_2320,clu_2328,chr21:44769169:44770859:-,0,6,6,NA,Inf,12,1
chr21,25601467,25603804,-,25603804,25601467,clu_223,clu_236,chr21:25601467:25603804:-,1,7,8,0.606513934860651,-0.556777296106244,1766,145
